CustomerID,Recency,Frequency,Monetary
CUST642,226,17,1469.08
CUST643,125,12,958.53
CUST644,147,18,206.87
CUST645,241,15,1020.74
CUST646,309,12,501.15
CUST647,219,16,1035.76
CUST648,50,8,123.07
CUST649,6,14,278.82
CUST650,366,17,1286.49
CUST651,19,8,356.23
CUST652,177,15,1258.82
CUST653,176,14,433.33
CUST654,55,18,971.47
CUST655,250,7,1047.34
CUST656,233,3,778.73
CUST657,309,12,471.86
CUST658,323,3,334.71
CUST659,194,14,69.12
CUST660,207,15,469.84
CUST661,194,14,986.68
CUST662,50,7,1408.69
CUST663,64,17,1309.38
CUST664,218,12,1153.78
CUST665,287,4,1186.9
CUST666,154,9,1004.18
CUST667,164,6,405.22
CUST668,115,16,1362.65
CUST669,138,2,1012.68
CUST670,203,8,849.45
CUST671,140,11,184.26
CUST672,220,13,681.64
CUST673,347,17,701.33
CUST674,320,8,1299.55
CUST675,134,18,829.04
CUST676,62,18,582.99
CUST677,353,14,1465.66
CUST678,224,15,183.87
CUST679,366,6,645.37
CUST680,313,11,82.2
CUST681,108,13,1115.06
CUST682,223,1,1378.75
CUST683,355,6,434.46
CUST684,37,9,1290.35
CUST685,143,8,452.48
CUST686,95,11,1367.94
CUST687,9,19,1135.86
CUST688,211,9,1211.26
CUST689,359,17,46.65
CUST690,245,12,1444.96
CUST691,19,14,1095.47
CUST692,203,15,471.03
CUST693,277,16,1247.5
CUST694,231,1,436.65
CUST695,181,10,1311.68
CUST696,51,8,186.62
CUST697,189,18,1061.46
CUST698,339,1,820.23
CUST699,147,2,162.87
CUST700,10,1,378.0
CUST701,326,1,38.36
CUST702,139,9,713.78
CUST703,175,13,465.87
CUST704,222,1,905.57
CUST705,166,13,459.91
CUST706,155,7,463.88
CUST707,147,2,1119.93
CUST708,127,6,91.25
CUST709,321,7,1356.28
CUST710,332,14,1281.35
CUST711,114,18,1008.35
CUST712,285,15,897.97
CUST713,111,2,1340.61
CUST714,170,10,294.29
CUST715,64,12,136.87
CUST716,357,17,374.48
CUST717,55,8,1195.98
CUST718,81,11,71.31
CUST719,125,3,882.55
CUST720,116,6,1493.25
CUST721,2,9,1286.43
CUST722,362,6,791.74
CUST723,248,9,114.19
CUST724,78,7,1250.43
CUST725,302,9,906.49
CUST726,221,18,190.1
CUST727,143,12,158.91
CUST728,128,8,1366.25
CUST729,190,8,1010.42
CUST730,100,18,1247.34
CUST731,26,15,1320.89
CUST732,85,7,866.22
CUST733,304,11,785.82
CUST734,150,16,657.03
CUST735,25,4,489.08
CUST736,52,6,663.2
CUST737,84,3,1165.34
CUST738,190,9,910.85
CUST739,269,10,1340.93
CUST740,262,14,676.2
CUST741,268,11,918.49
CUST742,56,18,954.34
CUST743,361,12,895.71
CUST744,170,12,1059.9
CUST745,16,13,371.4
CUST746,234,13,778.3
CUST747,9,19,174.25
CUST748,108,19,589.08
CUST749,344,14,741.75
CUST750,314,4,985.29
CUST751,202,13,1426.79
CUST752,165,8,908.96
CUST753,284,19,1120.52
CUST754,222,12,769.27
CUST755,282,18,958.47
CUST756,289,6,124.98
CUST757,1,18,396.5
CUST758,366,19,555.54
CUST759,316,5,719.29
CUST760,194,9,87.56
CUST761,162,3,227.24
CUST762,107,10,429.69
CUST763,79,19,1457.87
CUST764,333,3,510.39
CUST765,19,15,733.42
CUST766,272,1,310.22
CUST767,295,7,923.95
CUST768,328,12,435.41
CUST769,213,17,326.35
CUST770,117,5,784.53
CUST771,205,4,28.15
CUST772,249,12,31.34
CUST773,108,18,344.22
CUST774,61,17,74.35
CUST775,99,19,179.88
CUST776,313,9,521.51
CUST777,131,4,1207.83
CUST778,145,2,866.63
CUST779,116,4,778.75
CUST780,54,2,454.36
CUST781,255,15,1399.0
CUST782,112,2,607.58
CUST783,64,4,148.9
CUST784,160,6,933.26
CUST785,138,7,188.48
CUST786,26,10,530.93
CUST787,301,19,770.97
CUST788,292,19,1313.85
CUST789,264,12,750.45
CUST790,175,3,1059.34
CUST791,115,13,1489.37
CUST792,141,18,214.6
CUST793,73,8,426.6
CUST794,61,15,603.97
CUST795,269,1,644.31
CUST796,29,3,628.31
CUST797,81,8,1363.26
CUST798,32,4,1076.77
CUST799,20,16,919.7
CUST800,59,10,477.87
CUST801,118,12,1239.21
CUST802,201,14,1433.49
CUST803,32,14,1235.37
CUST804,337,2,22.32
CUST805,120,5,961.87
CUST806,261,5,95.68
CUST807,316,6,401.26
CUST808,286,13,108.1
CUST809,234,9,913.62
CUST810,82,15,1036.15
CUST811,229,14,189.44
CUST812,183,7,588.08
CUST813,37,2,695.23
CUST814,94,7,566.2
CUST815,27,6,199.12
CUST816,298,17,640.04
CUST817,333,2,1131.74
CUST818,105,3,125.09
CUST819,314,5,138.67
CUST820,162,5,545.06
CUST821,241,1,1413.75
CUST822,132,8,1009.49
CUST823,324,12,1024.43
CUST824,127,4,555.64
CUST825,256,13,898.62
CUST826,118,15,34.99
CUST827,216,11,961.42
CUST828,184,10,1371.66
CUST829,31,3,926.61
CUST830,272,14,1313.07
CUST831,359,16,1091.48
CUST832,7,10,198.43
CUST833,183,10,1355.63
CUST834,86,12,118.34
CUST835,172,9,810.27
CUST836,15,1,230.36
CUST837,172,5,37.33
CUST838,212,8,644.61
CUST839,274,11,456.66
CUST840,207,12,739.28
CUST841,306,1,874.26
CUST842,245,11,84.73
CUST843,316,5,202.04
CUST844,90,15,846.79
CUST845,362,5,527.89
CUST846,275,12,1099.18
CUST847,197,5,985.39
CUST848,50,17,1271.49
CUST849,345,17,1044.89
CUST850,41,12,656.3
CUST851,366,15,1015.99
CUST852,234,15,427.56
CUST853,134,6,473.34
CUST854,355,12,1187.7
CUST855,21,18,680.7
CUST856,321,14,1201.6
CUST857,333,2,1237.19
CUST858,289,9,1289.19
CUST859,149,5,1376.62
CUST860,66,1,657.86
CUST861,294,3,491.92
CUST862,85,6,881.65
CUST863,118,5,569.34
CUST864,320,5,909.59
CUST865,246,1,1064.27
CUST866,153,17,1038.84
CUST867,128,19,574.34
CUST868,311,14,266.95
CUST869,17,12,657.18
CUST870,260,10,231.04
CUST871,48,18,1337.34
CUST872,319,11,531.9
CUST873,306,2,248.6
CUST874,30,18,57.66
CUST875,341,7,975.82
CUST876,75,15,962.62
CUST877,110,11,524.09
CUST878,359,18,126.13
CUST879,254,12,626.25
CUST880,12,6,480.6
CUST881,114,13,1022.14
CUST882,187,16,916.55
CUST883,160,18,559.6
CUST884,64,10,342.48
CUST885,240,8,1482.29
CUST886,311,18,691.92
CUST887,153,1,1038.65
CUST888,353,8,228.02
CUST889,339,6,738.67
CUST890,289,5,60.75
CUST891,151,15,768.07
CUST892,2,15,1446.75
CUST893,213,2,588.63
CUST894,353,1,77.71
CUST895,180,11,65.81
CUST896,55,10,594.22
CUST897,360,18,256.84
CUST898,364,18,54.56
CUST899,256,17,1139.2
CUST900,129,8,698.61
CUST901,4,15,448.08
CUST902,128,8,1352.12
CUST903,93,17,191.89
CUST904,73,12,1434.76
CUST905,140,8,484.67
CUST906,352,14,1334.84
CUST907,175,4,912.36
CUST908,248,1,1243.53
CUST909,339,1,1476.34
CUST910,165,19,446.84
CUST911,328,16,1442.48
CUST912,94,14,596.43
CUST913,136,16,590.56
CUST914,281,5,523.77
CUST915,241,9,821.28
CUST916,67,2,248.13
CUST917,342,18,839.49
CUST918,222,6,821.72
CUST919,354,9,1147.61
CUST920,155,1,1253.8
CUST921,342,9,671.85
CUST922,299,16,467.45
CUST923,300,13,403.82
CUST924,134,9,308.04
CUST925,258,13,105.32
CUST926,221,9,526.82
CUST927,256,11,419.97
CUST928,139,4,1450.3
CUST929,256,2,845.41
CUST930,333,6,533.97
CUST931,256,14,879.09
CUST932,103,4,226.01
CUST933,131,6,677.18
CUST934,284,19,946.83
CUST935,325,6,743.57
CUST936,266,2,614.63
CUST937,361,18,1490.9
CUST938,187,13,1322.87
CUST939,85,9,942.64
CUST940,47,19,862.68
CUST941,141,13,938.58
CUST942,52,11,317.94
CUST943,2,1,604.8
CUST944,138,7,78.4
CUST945,78,15,723.81
CUST946,217,1,823.68
CUST947,90,12,357.07
CUST948,169,7,1446.76
CUST949,297,15,1365.99
CUST950,255,19,1088.77
CUST951,363,1,809.41
CUST952,17,17,1307.55
CUST953,36,17,213.37
CUST954,49,3,1189.95
CUST955,17,12,204.73
CUST956,272,6,1195.43
CUST957,215,11,428.14
CUST958,56,3,1318.09
CUST959,230,8,1417.18
CUST960,120,14,240.22
CUST961,124,14,704.76
CUST962,336,10,1471.86
CUST963,327,2,735.44
CUST964,138,14,1298.05
CUST965,331,9,891.32
CUST966,144,3,575.49
CUST967,361,8,442.96
CUST968,45,16,320.77
CUST969,147,2,1147.46
CUST970,292,6,592.08
CUST971,363,12,776.69
CUST972,32,5,748.64
CUST973,233,2,874.37
CUST974,249,16,1301.05
CUST975,273,5,1471.49
CUST976,305,15,623.22
CUST977,173,12,1244.73
CUST978,32,4,1151.5
CUST979,164,15,868.82
CUST980,341,11,1434.95
CUST981,194,16,316.7
CUST982,67,6,181.71
CUST983,234,14,1283.86
CUST984,41,18,669.94
CUST985,249,12,1273.51
CUST986,43,11,1341.77
CUST987,92,13,112.44
CUST988,155,11,1327.53
CUST989,142,16,683.51
CUST990,347,15,775.44
CUST991,254,15,947.36
CUST992,227,4,1391.05
CUST993,320,11,48.29
CUST994,366,19,725.73
CUST995,277,15,1037.83
CUST996,225,4,1089.61
CUST997,47,13,1044.95
CUST998,329,19,218.96
CUST999,74,2,463.11
CUST1000,228,14,550.9
